,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,1.00,3.00,2.00,4.00,2574.53,0.85,0.00,292.83,1192.175,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,4.00,6.00,1211.76,0.86,0.00,-280.43,-448.901,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,6.00,8.00,1625.84,0.85,0.00,-24.00,-86.042,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,8.00,10.00,32715.79,0.85,0.00,-84.52,-577.126,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,10.00,12.00,-86610.82,0.86,0.00,45.76,694.486,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,12.00,14.00,20189.12,0.84,0.00,-2.41,-87.169,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,14.00,16.00,19407.44,0.83,0.00,-11.86,-50.277,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,16.00,18.00,293279.06,0.85,0.00,-81.53,-491.610,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,18.00,20.00,-373074.13,0.85,0.00,58.27,427.884,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,20.00,22.00,-57086.98,0.88,0.00,1.83,46.767,4.364,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,5.00,7.00,1498.79,0.58,0.00,-1.44,-95.430,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,7.00,9.00,40537.38,0.57,0.00,-178.40,-645.267,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,9.00,11.00,-96232.41,0.56,0.00,78.20,612.725,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,11.00,13.00,-18913.81,0.63,0.00,13.30,60.213,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,13.00,15.00,24431.85,0.58,0.00,-13.00,-44.446,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,15.00,17.00,368174.06,0.57,0.00,-41.31,-418.609,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,17.00,19.00,-381901.94,0.56,0.00,64.19,289.479,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,19.00,21.00,-206976.16,0.57,0.00,16.69,109.820,2.400,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2.0,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,21.00,23.00,8311.31,0.11,0.00,-12.29,-34.942,26.151,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,1.9,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,23.00,25.00,992964.81,0.11,0.00,33.91,-3130.903,26.151,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,1.9,ERT1217TTT,0.0,0.00,0.0
,1.00,3.00,22.00,24.00,21587.90,0.06,0.00,-10.47,-52.724,17.603,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,1.9,ERT1217TTT,0.0,0.00,0.0
