,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,71.00,43.00,-18.54,0.00,-34.05,-75.05,-2.079,0.834,2000,-116.69,-89.74,-77.98,-66.51,-58.20,-59.06,-59.35,-53.18,-45.73,-36.41,-32.25,-34.83,-32.40,-33.26,-28.74,-20.00,-15.41,-18.06,-18.49,-16.41,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,60.1,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,44.00,-204.16,0.00,-5.92,-83.93,-22.739,0.828,2000,-21.16,-17.51,-15.18,-12.48,-11.80,-10.38,-10.15,-8.61,-8.22,-6.61,-6.19,-5.64,-5.69,-4.73,-4.71,-3.71,-3.07,-2.48,-2.69,-2.48,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,60.5,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,45.00,-342.19,0.00,-2.77,-86.17,-38.067,0.826,2000,-8.53,-7.60,-6.26,-5.98,-5.11,-4.75,-4.59,-3.77,-3.70,-3.45,-2.83,-2.77,-2.64,-2.23,-2.18,-1.78,-1.78,-1.57,-1.50,-0.99,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,60.8,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,46.00,-447.94,0.00,-3.49,-92.45,-47.558,0.787,2000,-11.66,-10.09,-8.91,-7.65,-7.03,-6.18,-5.85,-5.38,-4.58,-4.12,-3.72,-3.21,-3.21,-2.69,-2.65,-2.07,-1.91,-1.90,-1.52,-1.40,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,48,61.2,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,47.00,-520.63,0.00,-2.33,-74.86,-47.739,0.679,2000,-6.41,-6.38,-5.81,-4.92,-4.57,-3.85,-3.87,-3.08,-3.26,-2.82,-2.48,-2.04,-2.25,-1.85,-1.76,-1.80,-1.54,-1.24,-1.05,-1.01,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,42,61.2,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,48.00,-558.30,0.00,-2.37,-36.58,-47.710,0.631,2000,-7.41,-6.98,-5.90,-4.89,-4.67,-3.97,-3.74,-3.35,-2.96,-2.64,-2.00,-2.17,-2.34,-2.07,-1.80,-1.64,-1.60,-1.28,-1.22,-0.98,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,39,61.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,49.00,842.13,0.00,-0.04,-57.00,47.939,0.420,2000,3.27,1.23,1.01,0.77,0.76,0.76,0.52,0.21,-0.02,-0.22,0.06,-0.23,-0.07,-0.33,-0.20,-0.30,-0.21,-0.40,-0.48,-0.61,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,26,61.2,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,50.00,645.55,0.00,-0.52,-13.74,47.920,0.546,2000,1.80,-0.07,-0.27,-0.35,-0.44,-0.27,-0.35,-0.32,-0.66,-0.32,-0.42,-0.98,-0.62,-0.57,-0.74,-0.51,-0.79,-0.61,-0.70,-0.62,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,34,61.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,51.00,382.40,0.00,1.18,-74.81,41.987,0.805,2000,6.46,3.90,3.32,3.15,3.05,2.61,2.26,1.92,1.68,1.51,1.42,0.80,0.97,0.72,0.62,0.42,0.40,0.37,0.45,0.28,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,62.3,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,71.00,52.00,130.55,0.00,5.66,-70.24,14.365,0.804,2000,26.44,19.30,15.65,12.78,11.74,10.17,10.25,9.40,7.74,6.97,6.37,5.75,4.79,4.46,3.97,2.30,2.70,1.79,2.25,1.38,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,62.4,MALMIP0113,0.0,0.00,0.0
