,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,7.00,6.00,1388171.25,0.00,-0.89,-60.48,-31.638,2.422,2000,0.94,0.00,-0.55,-0.41,-0.73,-0.72,-1.45,-0.55,-1.06,-0.78,-0.99,-1.31,-0.95,-1.13,-1.06,-1.02,-0.61,-1.10,-1.07,-1.07,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,9.00,71.00,-1554.39,0.00,-0.85,-84.75,80.999,0.392,2000,-0.24,-1.42,-1.53,-1.40,-1.35,-1.13,-1.17,-1.04,-0.97,-0.98,-0.88,-0.87,-0.94,-0.67,-0.75,-0.81,-0.68,-0.79,-0.66,-0.67,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.6,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,10.00,-1493.49,0.00,-1.12,6.15,-77.831,0.392,2000,-1.48,-2.90,-2.61,-2.18,-1.91,-1.95,-1.92,-1.55,-1.45,-1.26,-1.21,-0.84,-0.99,-1.02,-0.88,-0.86,-0.74,-0.89,-0.69,-0.67,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.6,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,10.00,9.00,809217.06,0.00,0.26,76.38,-21.413,2.422,2000,1.53,-0.31,-0.22,0.22,-0.31,0.84,1.39,-0.01,0.45,-0.03,-0.18,-0.03,0.14,0.39,0.34,0.13,0.21,0.33,0.42,0.33,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,9.00,1.00,-81223.09,0.00,2.11,24.09,13.888,2.422,2000,6.48,4.46,3.99,3.48,2.45,3.82,4.59,3.03,3.41,2.04,1.48,1.42,2.00,2.10,1.15,1.61,1.67,1.33,1.60,1.31,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,11.00,71.00,-1392.56,0.00,-1.26,-40.94,75.037,0.405,2000,-2.89,-3.82,-3.23,-2.88,-2.56,-2.12,-1.90,-1.55,-1.39,-1.36,-1.34,-1.10,-0.85,-0.99,-0.94,-0.83,-0.88,-0.82,-0.78,-0.77,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.4,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,12.00,-1266.05,0.00,-1.71,32.92,-68.227,0.405,2000,-5.22,-6.07,-4.87,-4.18,-3.61,-2.97,-2.65,-2.21,-1.77,-1.83,-1.50,-1.54,-1.15,-1.26,-1.06,-1.18,-1.00,-1.14,-0.96,-0.89,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.4,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,13.00,71.00,-1122.42,0.00,-2.28,-37.75,55.961,0.375,2000,-2.19,-3.30,-3.32,-3.41,-3.12,-3.14,-3.37,-3.33,-3.09,-3.17,-3.12,-2.69,-2.68,-2.68,-2.06,-1.91,-1.61,-1.46,-1.50,-1.29,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.9,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,71.00,14.00,-1007.71,0.00,-2.35,31.94,-50.247,0.375,2000,-2.35,-3.46,-3.51,-3.37,-3.42,-3.50,-3.77,-3.42,-3.43,-3.35,-3.21,-2.97,-2.72,-2.49,-2.11,-1.97,-1.65,-1.50,-1.41,-1.15,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,2,5.9,MALMIP1201,0.0,0.00,0.0
,72.00,65.00,14.00,13.00,1213127.75,0.00,-1.03,2.25,-39.593,2.417,2000,-0.03,-1.34,-1.29,-1.17,-1.22,-0.93,-1.25,-1.32,-1.07,-1.23,-1.52,-1.52,-1.02,-0.62,-0.93,-1.02,-0.90,-1.00,-0.85,-0.87,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,10,4.0,MALMIP1201,0.0,0.00,0.0
