2469
1	1 1	1 3	1 2	1 4	145.7725005122902
2	1 1	1 3	1 4	1 6	-55.49012288436819
3	1 1	1 3	1 6	1 8	-10.776517853870224
4	1 1	1 3	1 8	1 10	-68.06902262507933
5	1 1	1 3	1 10	1 12	81.9094993607952
6	1 1	1 3	1 12	1 14	-9.956421314942835
7	1 1	1 3	1 14	1 16	-6.259831469099684
8	1 1	1 3	1 16	1 18	-58.971995180163724
9	1 1	1 3	1 18	1 20	51.071787584443165
10	1 1	1 3	1 20	1 22	6.017251695528502
11	1 1	1 3	1 5	1 7	-21.42188294793538
12	1 1	1 3	1 7	1 9	-142.56496160205694
13	1 1	1 3	1 9	1 11	136.21000473236018
14	1 1	1 3	1 11	1 13	14.114347246565
15	1 1	1 3	1 13	1 15	-9.778820250550856
16	1 1	1 3	1 15	1 17	-94.00187389753705
17	1 1	1 3	1 17	1 19	65.0126608769792
18	1 1	1 3	1 19	1 21	24.24731053076686
19	1 1	1 3	1 21	1 23	-0.5830496849844249
20	1 1	1 3	1 23	1 25	-63.320498313695055
21	1 1	1 3	1 22	1 24	-1.7518528441922676
22	1 1	1 3	1 24	1 26	-46.62033499070023
23	1 1	1 3	1 26	1 28	30.771655907576985
24	1 1	1 3	1 28	1 30	10.262615946572282
25	1 1	1 3	1 30	1 32	1.3288689732012744
26	1 1	1 3	1 32	1 34	-36.00367943980122
27	1 1	1 3	1 34	1 36	19.605776391971805
28	1 1	1 3	1 36	1 38	9.67161470730801
29	1 1	1 3	1 38	1 40	2.8397199582222212
30	1 1	1 3	1 40	1 42	-27.15082444308456
31	1 1	1 3	1 25	1 27	33.88730275119494
32	1 1	1 3	1 27	1 29	20.17458271272175
33	1 1	1 3	1 29	1 31	4.273351090932103
34	1 1	1 3	1 31	1 33	-44.362224215168425
35	1 1	1 3	1 33	1 35	19.13660268875936
36	1 1	1 3	1 35	1 37	15.23041492566951
37	1 1	1 3	1 37	1 39	5.624144382090993
38	1 1	1 3	1 39	1 41	-31.22774870410904
39	1 1	1 3	1 41	1 43	11.409626965386153
40	1 1	1 3	1 43	1 45	10.834959306665077
41	1 1	1 3	1 42	1 44	12.571626552239778
42	1 1	1 3	1 44	1 46	7.980014545871654
43	1 1	1 3	1 46	1 48	3.28471004391058
44	1 1	1 3	1 48	1 50	-20.62918973817855
45	1 1	1 3	1 50	1 52	8.48405077973765
46	1 1	1 3	1 52	1 54	6.415283306279
47	1 1	1 3	1 54	1 56	3.0723000369935187
48	1 1	1 3	1 56	1 58	-15.799474925881839
49	1 1	1 3	1 58	1 60	5.944023587600871
50	1 1	1 3	1 60	1 62	5.095121832110241
51	1 1	1 3	1 45	1 47	5.4935033947525005
52	1 1	1 3	1 47	1 49	-22.41602847894196
53	1 1	1 3	1 49	1 51	7.061900786806941
54	1 1	1 3	1 51	1 53	7.918571857104898
55	1 1	1 3	1 53	1 55	4.782607431130383
56	1 1	1 3	1 55	1 57	-16.646257711450474
57	1 1	1 3	1 57	1 59	4.825573580584985
58	1 1	1 3	1 59	1 61	5.938507752738934
59	1 1	1 3	1 61	1 63	4.033263278523389
60	1 1	1 3	1 63	1 65	-13.005417183869394
61	1 1	1 3	1 62	1 64	2.80137582224003
62	1 1	1 3	1 64	1 66	-12.548176734117128
63	1 1	1 3	1 66	1 68	4.511432558331489
64	1 1	1 3	1 68	1 70	4.305914386309047
65	1 1	1 3	1 70	1 72	2.4655711292753564
66	1 1	1 3	1 72	1 2	-54.859608939655345
67	1 1	1 3	1 65	1 67	3.5943822179559666
68	1 1	1 3	1 67	1 69	4.7021466902944
69	1 1	1 3	1 69	1 71	3.528930174995155
70	1 2	1 4	1 3	1 5	118.82000645934217
71	1 2	1 4	1 5	1 7	-48.907405653321916
72	1 2	1 4	1 7	1 9	-156.27599524939149
73	1 2	1 4	1 9	1 11	85.73040575300246
74	1 2	1 4	1 11	1 13	73.75945673396538
75	1 2	1 4	1 13	1 15	-11.096885752977236
76	1 2	1 4	1 15	1 17	-111.84725639244131
77	1 2	1 4	1 17	1 19	50.583490500140954
