2410
156	1 3	1 5	1 23	1 25
157	1 3	1 5	1 25	1 27
158	1 3	1 5	1 24	1 26
159	1 3	1 5	1 26	1 28
160	1 3	1 5	1 28	1 30
161	1 3	1 5	1 30	1 32
162	1 3	1 5	1 32	1 34
163	1 3	1 5	1 34	1 36
164	1 3	1 5	1 36	1 38
165	1 3	1 5	1 38	1 40
166	1 3	1 5	1 40	1 42
167	1 3	1 5	1 42	1 44
168	1 3	1 5	1 27	1 29
169	1 3	1 5	1 29	1 31
170	1 3	1 5	1 31	1 33
171	1 3	1 5	1 33	1 35
172	1 3	1 5	1 35	1 37
173	1 3	1 5	1 37	1 39
174	1 3	1 5	1 39	1 41
175	1 3	1 5	1 41	1 43
176	1 3	1 5	1 43	1 45
177	1 3	1 5	1 45	1 47
178	1 3	1 5	1 44	1 46
179	1 3	1 5	1 46	1 48
180	1 3	1 5	1 48	1 50
181	1 3	1 5	1 50	1 52
182	1 3	1 5	1 52	1 54
183	1 3	1 5	1 54	1 56
184	1 3	1 5	1 56	1 58
185	1 3	1 5	1 58	1 60
186	1 3	1 5	1 60	1 62
187	1 3	1 5	1 62	1 64
188	1 3	1 5	1 47	1 49
189	1 3	1 5	1 49	1 51
190	1 3	1 5	1 51	1 53
191	1 3	1 5	1 53	1 55
192	1 3	1 5	1 55	1 57
193	1 3	1 5	1 57	1 59
194	1 3	1 5	1 59	1 61
195	1 3	1 5	1 61	1 63
196	1 3	1 5	1 63	1 65
197	1 3	1 5	1 65	1 67
198	1 3	1 5	1 64	1 66
199	1 3	1 5	1 66	1 68
200	1 3	1 5	1 68	1 70
201	1 3	1 5	1 70	1 72
202	1 3	1 5	1 72	1 2
203	1 3	1 5	1 67	1 69
204	1 3	1 5	1 69	1 71
205	1 3	1 5	1 71	1 1
206	1 4	1 6	1 5	1 7
207	1 4	1 6	1 7	1 9
208	1 4	1 6	1 9	1 11
209	1 4	1 6	1 11	1 13
210	1 4	1 6	1 13	1 15
211	1 4	1 6	1 15	1 17
212	1 4	1 6	1 17	1 19
213	1 4	1 6	1 19	1 21
214	1 4	1 6	1 21	1 23
215	1 4	1 6	1 23	1 25
216	1 4	1 6	1 8	1 10
217	1 4	1 6	1 10	1 12
218	1 4	1 6	1 12	1 14
219	1 4	1 6	1 14	1 16
220	1 4	1 6	1 16	1 18
221	1 4	1 6	1 18	1 20
222	1 4	1 6	1 20	1 22
223	1 4	1 6	1 22	1 24
224	1 4	1 6	1 24	1 26
225	1 4	1 6	1 26	1 28
226	1 4	1 6	1 25	1 27
227	1 4	1 6	1 27	1 29
228	1 4	1 6	1 29	1 31
229	1 4	1 6	1 31	1 33
230	1 4	1 6	1 33	1 35
231	1 4	1 6	1 35	1 37
232	1 4	1 6	1 37	1 39
233	1 4	1 6	1 39	1 41
234	1 4	1 6	1 41	1 43
235	1 4	1 6	1 43	1 45
236	1 4	1 6	1 28	1 30
237	1 4	1 6	1 30	1 32
238	1 4	1 6	1 32	1 34
239	1 4	1 6	1 34	1 36
240	1 4	1 6	1 36	1 38
241	1 4	1 6	1 38	1 40
242	1 4	1 6	1 40	1 42
243	1 4	1 6	1 42	1 44
244	1 4	1 6	1 44	1 46
245	1 4	1 6	1 46	1 48
246	1 4	1 6	1 45	1 47
247	1 4	1 6	1 47	1 49
248	1 4	1 6	1 49	1 51
249	1 4	1 6	1 51	1 53
250	1 4	1 6	1 53	1 55
251	1 4	1 6	1 55	1 57
252	1 4	1 6	1 57	1 59
253	1 4	1 6	1 59	1 61
254	1 4	1 6	1 61	1 63
255	1 4	1 6	1 63	1 65
256	1 4	1 6	1 48	1 50
257	1 4	1 6	1 50	1 52
258	1 4	1 6	1 52	1 54
259	1 4	1 6	1 54	1 56
260	1 4	1 6	1 56	1 58
261	1 4	1 6	1 58	1 60
262	1 4	1 6	1 60	1 62
263	1 4	1 6	1 62	1 64
264	1 4	1 6	1 64	1 66
265	1 4	1 6	1 66	1 68
266	1 4	1 6	1 65	1 67
267	1 4	1 6	1 67	1 69
268	1 4	1 6	1 69	1 71
269	1 4	1 6	1 71	1 1
270	1 4	1 6	1 68	1 70
271	1 4	1 6	1 70	1 72
272	1 4	1 6	1 72	1 2
273	1 5	1 7	1 6	1 8
274	1 5	1 7	1 8	1 10
275	1 5	1 7	1 10	1 12
276	1 5	1 7	1 12	1 14
277	1 5	1 7	1 14	1 16
278	1 5	1 7	1 16	1 18
279	1 5	1 7	1 18	1 20
280	1 5	1 7	1 20	1 22
281	1 5	1 7	1 22	1 24
282	1 5	1 7	1 24	1 26
283	1 5	1 7	1 9	1 11
284	1 5	1 7	1 11	1 13
285	1 5	1 7	1 13	1 15
286	1 5	1 7	1 15	1 17
287	1 5	1 7	1 17	1 19
288	1 5	1 7	1 19	1 21
289	1 5	1 7	1 21	1 23
290	1 5	1 7	1 23	1 25
291	1 5	1 7	1 25	1 27
292	1 5	1 7	1 27	1 29
293	1 5	1 7	1 26	1 28
294	1 5	1 7	1 28	1 30
295	1 5	1 7	1 30	1 32
296	1 5	1 7	1 32	1 34
297	1 5	1 7	1 34	1 36
298	1 5	1 7	1 36	1 38
299	1 5	1 7	1 38	1 40
300	1 5	1 7	1 40	1 42
301	1 5	1 7	1 42	1 44
302	1 5	1 7	1 44	1 46
303	1 5	1 7	1 29	1 31
304	1 5	1 7	1 31	1 33
305	1 5	1 7	1 33	1 35
306	1 5	1 7	1 35	1 37
307	1 5	1 7	1 37	1 39
308	1 5	1 7	1 39	1 41
309	1 5	1 7	1 41	1 43
310	1 5	1 7	1 43	1 45
311	1 5	1 7	1 45	1 47
312	1 5	1 7	1 47	1 49
313	1 5	1 7	1 46	1 48
314	1 5	1 7	1 48	1 50
315	1 5	1 7	1 50	1 52
316	1 5	1 7	1 52	1 54
317	1 5	1 7	1 54	1 56
318	1 5	1 7	1 56	1 58
319	1 5	1 7	1 58	1 60
320	1 5	1 7	1 60	1 62
321	1 5	1 7	1 62	1 64
322	1 5	1 7	1 64	1 66
323	1 5	1 7	1 49	1 51
324	1 5	1 7	1 51	1 53
325	1 5	1 7	1 53	1 55
326	1 5	1 7	1 55	1 57
327	1 5	1 7	1 57	1 59
328	1 5	1 7	1 59	1 61
329	1 5	1 7	1 61	1 63
330	1 5	1 7	1 63	1 65
331	1 5	1 7	1 65	1 67
332	1 5	1 7	1 67	1 69
333	1 5	1 7	1 66	1 68
334	1 5	1 7	1 68	1 70
335	1 5	1 7	1 70	1 72
336	1 5	1 7	1 72	1 2
337	1 5	1 7	1 69	1 71
338	1 5	1 7	1 71	1 1
339	1 6	1 8	1 7	1 9
340	1 6	1 8	1 9	1 11
341	1 6	1 8	1 11	1 13
342	1 6	1 8	1 13	1 15
